Bus Name,Addr 1,Addr 2,"City, State Zip",Dist,Map
"KPH HEALTHCARE SERVICES, INC.",40 FIRST STREET,,"ILION, NY 13357",5 miles,Map
SCRIPTS PLUS INC,10 CENTRAL AVE,,"ILION, NY 13357",5 miles,Map
"KPH HEALTHCARE SERVICES, INC.",10 MAIN STEET,,"RICHFIELD SPRINGS, NY 13439",12 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",1122 MOHAWK STREET,,"UTICA, NY 13501",14 miles,Map
BOBS PHARMACY LLC,430 BLEECKER ST,,"UTICA, NY 13501",14 miles,Map
ECKERD CORPORATION,4854 COMMERCIAL DRIVE,,"NEW HARTFORD, NY 13413",14 miles,Map
"WALGREEN EASTERN CO., INC.",49 KELLOGG RD,,"NEW HARTFORD, NY 13413",14 miles,Map
ECKERD CORPORATION,46 KELLOGG ROAD,,"NEW HARTFORD, NY 13413",14 miles,Map
STANWOOD PHARMACY INC,18 KELLOGG RD,,"NEW HARTFORD, NY 13413",15 miles,Map
THE GOLUB CORPORATION,1917 GENESEE STREET,,"UTICA, NY 13501",15 miles,Map
"RITE AID OF NEW YORK, INC.",1924 GENESEE STREET,,"UTICA, NY 13502",15 miles,Map
ST ELIZABETH MEDICAL CENTER,2209 GENESEE ST,C/O PHARMACY DEPT,"UTICA, NY 13501",15 miles,Map
FAXTON - ST. LUKE'S HC/MOHAWK VALLEY HEALTH SYSTEM,1676 SUNSET AVE,,"UTICA, NY 13502",15 miles,Map
"CVS ALBANY, L.L.C.",625 E. MAIN ST.,,"LITTLE FALLS, NY 13365",17 miles,Map
"KPH HEALTHCARE SERVICES, INC.",530 ALBANY ST,,"LITTLE FALLS, NY 13365",17 miles,Map
"CVS ALBANY, L.L.C.",139 EAST MAIN STREET,,"WATERVILLE, NY 13480",19 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",4593 COMMERCIAL DRIVE,,"NEW HARTFORD, NY 13413",18 miles,Map
THE GOLUB CORPORATION,4535 COMMERICAL DRIVE,,"NEW HARTFORD, NY 13413",18 miles,Map
"KPH HEALTHCARE SERVICES, INC.",40 ORISKANY BLVD,,"WHITESBORO, NY 13492",19 miles,Map
"RITE AID OF NEW YORK, INC.",141 ORISKANY BOULEVARD,,"WHITESBORO, NY 13492",19 miles,Map
"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",9225 RIVER RD,PO BOX 171,"MARCY, NY 13403",19 miles,Map
"KPH HEALTHCARE SERVICES, INC.",12 FRANKLIN AVENUE,,"CLINTON, NY 13323",20 miles,Map
"CVS ALBANY, L.L.C.",39 MEADOW ST.,,"CLINTON, NY 13323",20 miles,Map
"CVS ALBANY, L.L.C.",95 BEAVER ST,,"COOPERSTOWN, NY 13326",27 miles,Map
CHURCH & SCOTT,5396 STATE HIGHWAY 28,,"COOPERSTOWN, NY 13326",27 miles,Map
"KPH HEALTHCARE SERVICES, INC.",12 PARK PLACE,,"ST JOHNSVILLE, NY 13452",27 miles,Map
THE MARY IMOGENE BASSETT HOSP,1 ATWELL RD,OUTPATIENT PHARMACY,"COOPERSTOWN, NY 13326",27 miles,Map
"KPH HEALTHCARE SERVICES, INC.",55 NORTH MAIN STREET,,"DOLGEVILLE, NY 13329",24 miles,Map
"RITE AID OF NEW YORK, INC.",400 CHESTNUT STREET,,"ONEONTA, NY 13820",46 miles,Map
ECKERD CORPORATION,94 CHESTNUT STREET,,"ONEONTA, NY 13820",46 miles,Map
THE GOLUB CORPORATION,1000 MAIN STREET,,"ONEONTA, NY 13820",43 miles,Map
AURELIA OSBORN FOX MEMORIAL SOCIETY HOSPITAL,1 NORTON AVE,,"ONEONTA, NY 13820",46 miles,Map
THE GOLUB CORPORATION,6025 STATE HWY 5,,"PALATINE BRIDGE, NY 13428",33 miles,Map
U & I INC USA,5236 W SENECA ST,PO BOX 1260,"VERNON, NY 13476",31 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",705 STATE HWY 28,,"ONEONTA, NY 13820",47 miles,Map
"MARY IMOGENE BASSETT HOSPITAL, THE",1 FOXCARE DR,,"ONEONTA, NY 13820",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",103 UTICA ST,,"HAMILTON, NY 13346",33 miles,Map
GRAND UNION OF SHERRILL LLC,87 E STATE ST,,"SHERRILL, NY 13461",34 miles,Map
"WALGREEN EASTERN CO., INC.",201 S. JAMES ST.,,"ROME, NY 13440",32 miles,Map
THE GOLUB CORPORATION,1790 BLACK RIVER BLVD,,"ROME, NY 13440",33 miles,Map
CMV PHARMACY INC.,1017 MADISON MARKETPLACE,,"HAMILTON, NY 13346",33 miles,Map
"TOPS PT, LLC",87 EAST STATE STREET,,"SHERRILL, NY 13461",34 miles,Map
"RMH RETAIL PHARMACY, LLC",1500 N JAMES ST,,"ROME, NY 13440",33 miles,Map
COMMUNITY MEMORIAL HOSPITAL,150 BROAD ST,PHARMACY DEPARTMENT,"HAMILTON, NY 13346",33 miles,Map
"RITE AID OF NEW YORK, INC.",405 ERIE BOULEVARD WEST,,"ROME, NY 13440",33 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",808 WEST CHESTNUT STREET,,"ROME, NY 13440",34 miles,Map
CMV PHARMACY INC.,14 E MAIN ST.,PO BOX 237,"MORRISVILLE, NY 13408",38 miles,Map
THE GOLUB CORPORATION,142 GENESEE STREET,,"ONEIDA, NY 13421",38 miles,Map
"KPH HEALTHCARE SERVICES, INC.",261 UTICA BOULEVARD,,"BOONVILLE, NY 13309",48 miles,Map
GOLUB CORPORATION,241 NORTH COMRIE AVENUE,,"JOHNSTOWN, NY 12095",48 miles,Map
"KPH HEALTHCARE SERVICES, INC.",41 ALBANY ST,,"CAZENOVIA, NY 13035",50 miles,Map
ECKERD CORPORATION,172 NORTH MAIN STREET,,"GLOVERSVILLE, NY 12078",50 miles,Map
"CVS ALBANY, L.L.C.",1013 STATE HIGHWAY 29A,,"GLOVERSVILLE, NY 12078",51 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",235 FIFTH AVE EXTENSION,,"GLOVERSVILLE, NY 12078",51 miles,Map
"KPH HEALTHCARE SERVICES, INC.",540 GENESEE STREET,,"CHITTENANGO, NY 13037",51 miles,Map
BROWN'S PHARMACY,225 MAIN ST,P.O. BOX 308,"UNADILLA, NY 13849",60 miles,Map
THE MARY IMOGENE BASSETT HOSPITAL,460 ANDES RD STE A,,"DELHI, NY 13753",64 miles,Map
THE GOLUB CORPORATION,5631 STATE HIGHWAY 12,,"NORWICH, NY 13815",50 miles,Map
BASSETT HOSPITAL OF SCHOHARIE COUNTY,178 GRANDVIEW DR,PHARMACY DEPARTMENT,"COBLESKILL, NY 12043",48 miles,Map
MEDICINE SHOPPE,1315 STATE ROUTE 5 STE A,,"CHITTENANGO, NY 13037",54 miles,Map
"CVS ALBANY, L.L.C.",726 EAST MAIN STREET,,"COBLESKILL, NY 12043",48 miles,Map
THE GOLUB CORPORATION,105 PLAZA LN,,"COBLESKILL, NY 12043",48 miles,Map
"WALGREEN EASTERN CO., INC.",4999 STATE HIGHWAY 30,,"AMSTERDAM, NY 12010",59 miles,Map
GOLUB CORPORATION,141 SANFORD FARM SHOPPING CTR,,"AMSTERDAM, NY 12010",60 miles,Map
"RITE AID OF NEW YORK, INC.",149 MARKET STREET,,"AMSTERDAM, NY 12010",59 miles,Map
AURELIA OSBORN FOX MEMORIAL HOSPITAL SOCIETY INC.,43 PEARL ST W,,"SIDNEY, NY 13838",63 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2 PRESTON ST,,"CAMDEN, NY 13316",54 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7065 MANLIUS CENTER ROAD,,"EAST SYRACUSE, NY 13057",62 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7998 ROUTE 31,,"BRIDGEPORT, NY 13030",59 miles,Map
BARTLES PHARMACY INC,10 LAFAYETTE PARK,P.O. BOX 630,"OXFORD, NY 13830",60 miles,Map
WINDHAM PHARMA INC,61 STATE ROUTE 296,PO BOX 68,"WINDHAM, NY 12496",83 miles,
TOPS MARKETS,352 GENESEE STREET,,"AUBURN, NY 13021",6 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2085 ROUTE 5&20,,"SENECA FALLS, NY 13148",7 miles,Map
RX CITY PHARMACY INC,161 GENESEE ST STE 105,,"AUBURN, NY 13021",7 miles,Map
"KPH HEALTHCARE SERVICES, INC.",187 STATE STREET,,"AUBURN, NY 13021",7 miles,Map
"KPH HEALTHCARE SERVICES, INC.",62 OWASCO STREET,,"AUBURN, NY 13021",8 miles,Map
"WALGREEN EASTERN CO., INC.",150 GRANT AVENUE,,"AUBURN, NY 13021",9 miles,Map
ECKERD CORPORATION,153 GRANT AVENUE,,"AUBURN, NY 13021",9 miles,Map
WAL-MART PHARMACY 10-1830,297 GRANT AVE,,"AUBURN, NY 13021",10 miles,Map
HERBST PHARMACY INC,1 CHURCH ST,,"PORT BYRON, NY 13140",11 miles,Map
"CVS ALBANY, L.L.C.",27 FENNELL ST.,,"SKANEATELES, NY 13152",17 miles,Map
"KPH HEALTHCARE SERVICES, INC.",23 FENNEL STREET,,"SKANEATELES, NY 13152",17 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2783 NYS RT 31,,"WEEDSPORT, NY 13166",16 miles,Map
"KPH HEALTHCARE SERVICES, INC.",1057 RT. 5 EAST,,"ELBRIDGE, NY 13060",20 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7115 NORTH MAIN STREET,P.O. BOX 369,"OVID, NY 14521",24 miles,Map
PINE HILL HOMETOWN PHARMACY INC.,2949 STATE ROUTE 370,,"CATO, NY 13033",24 miles,Map
ECKERD CORPORATION,420 HAMILTON STREET,,"GENEVA, NY 14456",22 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2100 TRUMANSBURG RD,,"TRUMANSBURG, NY 14886",35 miles,Map
DOBBINS DRUGS INC,52 WILLIAM ST,,"LYONS, NY 14489",24 miles,Map
"KPH HEALTHCARE SERVICES, INC.",20 FORGHAM ST,,"LYONS, NY 14489",24 miles,Map
"KPH HEALTHCARE SERVICES, INC.",130 MAIN STREET,,"MORAVIA, NY 13118",26 miles,Map
CLIFTON SPRINGS HOSPITAL & CLINIC,2 COULTER RD,PHARMACY DEPT,"CLIFTON SPRINGS, NY 14432",30 miles,Map
REFRESH PHARMACY,5700 W GENESEE ST STE 106,,"CAMILLUS, NY 13031",28 miles,Map
ECKERD CORPORATION,5335 WEST GENESEE ST STE 20,,"CAMILLUS, NY 13031",29 miles,Map
ECKERD CORPORATION,101 S. MAIN STREET,,"NEWARK, NY 14513",29 miles,Map
VINCE'S PHARMACY OF CAMILLUS,240 TOWNSHIP BLVD STE 30,,"CAMILLUS, NY 13031",29 miles,Map
VIAHEALTH OF WAYNE,1200 DRIVING PARK AVE,PO BOX 111,"NEWARK, NY 14513",30 miles,Map
"TOPS PT, LLC",2265 DOWNER STREET,,"BALDWINSVILLE, NY 13027",30 miles,Map
"KPH HEALTHCARE SERVICES, INC.",4202 WEST GENESEE STREET,C/O PHARMACY,"SYRACUSE, NY 13219",31 miles,Map
ECKERD CORPORATION,113 DOWNER STREET,,"BALDWINSVILLE, NY 13027",30 miles,Map
"KPH HEALTHCARE SERVICES, INC.",21 E. GENESEE STREET,,"BALDWINSVILLE, NY 13027",31 miles,Map
STATE UNIVERSITY OF NEW YORK,5000 WEST SENECA TPKE,SUITE A,"SYRACUSE, NY 13215",34 miles,Map
"WALGREEN EASTERN CO., INC.",5942 SOUTH SALINA STREET,,"SYRACUSE, NY 13205",36 miles,Map
CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DR FL 3,,"ITHACA, NY 14850",42 miles,Map
"WALGREEN EASTERN CO., INC.",4751 ONONDAGA BLVD,,"SYRACUSE, NY 13219",34 miles,Map
"WALGREEN EASTERN CO., INC.",4001 S SALINA ST,,"SYRACUSE, NY 13205",36 miles,Map
ECKERD CORPORATION,170 EASTERN BLVD.,,"CANANDAIGUA, NY 14424",38 miles,Map
"KPH HEALTHCARE SERVICES, INC.",104 LAFAYETTE ROAD,,"SYRACUSE, NY 13205",37 miles,Map
ECKERD CORPORATION,539 NORTH MAIN STREET,,"CANANDAIGUA, NY 14424",40 miles,Map
"WATER STREET PHARMACY, INC.",126 MAIN ST,,"PENN YAN, NY 14527",34 miles,Map
"RITE AID OF NEW YORK, INC.",138 ELM STREET,,"PENN YAN, NY 14527",34 miles,Map
TOPS MARKETS,2300 N. TRIPHAMMER RD,,"ITHACA, NY 14850",42 miles,Map
WESTSIDE FAMILY PHARMACY LLC,216 SEYMOUR ST,,"SYRACUSE, NY 13204",36 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2255 NORTH TRIPHAMMER ROAD,,"ITHACA, NY 14850",42 miles,Map
FRANK & FRAN DRUGS INC,360 W 1ST ST S,,"FULTON, NY 13069",39 miles,Map
THE GOLUB CORPORATION,12 WEST FIRST STREET SOUTH,,"FULTON, NY 13069",40 miles,Map
THE FREDERICK FERRIS THOMPSON HOSPITAL,335 PARRISH ST STE 1500,,"CANANDAIGUA, NY 14424",40 miles,Map
STATE UNIVERSITY OF NEW YORK,750 EAST ADAMS STREET,LOBBY,"SYRACUSE, NY 13210",37 miles,Map
UNIVERSITY HOSPITAL-PHARMACY,750 E ADAMS ST,,"SYRACUSE, NY 13210",37 miles,Map
ST JOSEPHS HOSP HEALTH CTR,301 PROSPECT AVE,,"SYRACUSE, NY 13203",37 miles,Map
"KPH HEALTHCARE SERVICES, INC.",513 NORTH CAYUGA STREET,,"ITHACA, NY 14850",45 miles,Map
"KPH HEALTHCARE SERVICES, INC.",115 ONEIDA STREET,,"FULTON, NY 13069",40 miles,Map
"CVS ALBANY, L.L.C.",625 W. CLINTON ST.,,"ITHACA, NY 14850",45 miles,Map
"KPH HEALTHCARE SERVICES, INC.",406 BUTTERNUT STREET,,"SYRACUSE, NY 13208",37 miles,Map
"RITE AID OF NEW YORK, INC.",519 BUTTERNUT STREET,,"SYRACUSE, NY 13208",37 miles,Map
"WALGREEN EASTERN CO., INC.",602 NOTTINGHAM RD,,"SYRACUSE, NY 13224",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7608 OSWEGO ROAD,STE 21,"LIVERPOOL, NY 13090",36 miles,Map
"KPH HEALTHCARE SERVICES, INC.",437 ELECTONICS PARKWAY,,"LIVERPOOL, NY 13088",36 miles,Map
"KPH HEALTHCARE SERVICES, INC.",307 NOTTINGHAM ROAD,,"SYRACUSE, NY 13210",39 miles,Map
"WALGREEN EASTERN CO., INC.",1405 E GENESEE ST,,"SYRACUSE, NY 13210",38 miles,Map
GANNETT: CORNELL UNIVERSITY,110 HO PLZ,,"ITHACA, NY 14853",45 miles,Map
TOPS MARKETS,700 FIRST NORTH STREET,,"SYRACUSE, NY 13208",37 miles,Map
"KPH HEALTHCARE SERVICES, INC.",596 ROUTE 11,,"TULLY, NY 13159",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",174 WEST BRIDGE STREET,C/O PHARMACY,"OSWEGO, NY 13126",49 miles,Map
OSWEGO VALLEY PHARMACY INC,464 MAIN ST,,"PHOENIX, NY 13135",37 miles,Map
"CVS ALBANY, L.L.C.",34 W. MAIN ST.,,"SODUS, NY 14551",37 miles,Map
WATER STREET PHARMACY INC,14 WATER ST,,"DUNDEE, NY 14837",41 miles,Map
OSWEGO HOSPITAL,110 W SIXTH ST,PHARMACY DEPARTMENT,"OSWEGO, NY 13126",49 miles,Map
THE GOLUB CORPORATION,3863 STATE ROUTE 31,,"LIVERPOOL, NY 13090",37 miles,Map
WAYNE DRUG OF PULASKI INC,24 W BRIDGE ST,,"OSWEGO, NY 13126",49 miles,Map
THE GOLUB CORPORATION,2515 ERIE BLVD EAST,,"SYRACUSE, NY 13214",40 miles,Map
"WALGREEN EASTERN CO., INC.",2329 JAMES ST.,,"SYRACUSE, NY 13206",40 miles,Map
C&J'S NORTHSIDE PHARMACY INC,2301 TEALL AVE,,"SYRACUSE, NY 13206",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2912 JAMES STREET,,"SYRACUSE, NY 13206",40 miles,Map
"CVS ALBANY, L.L.C.",1259 ROUTE 332,,"FARMINGTON, NY 14425",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",5221 WEST TAFT ROAD,,"NORTH SYRACUSE, NY 13212",39 miles,Map
ECKERD CORPORATION,1820 TEALL AVE,,"SYRACUSE, NY 13206",40 miles,Map
ECKERD CORPORATION,5380 WEST TAFT ROAD,,"NORTH SYRACUSE, NY 13212",40 miles,Map
"CVS ALBANY, L.L.C.",506 SOUTH FRANKLIN STREET,,"WATKINS GLEN, NY 14891",51 miles,Map
SCHUYLER HOSPITAL,220 STEUBEN ST,,"MONTOUR FALLS, NY 14865",53 miles,Map
"CVS ALBANY, L.L.C.",1215 ROUTE 31,,"MACEDON, NY 14502",44 miles,Map
"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",515 STEWART DRIVE WEST,,"NORTH SYRACUSE, NY 13212",42 miles,Map
MEAD SQUARE PHARMACY INC,53 WEST MAIN ST,,"VICTOR, NY 14564",48 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7065 MANLIUS CENTER ROAD,,"EAST SYRACUSE, NY 13057",44 miles,Map
THE GOLUB CORPORATION,5701 E CIRCLE DR,,"CICERO, NY 13039",42 miles,Map
ECKERD CORPORATION,1067 STATE ROUTE 222,,"CORTLAND, NY 13045",43 miles,Map
"KPH HEALTHCARE SERVICES, INC.",3666 NYS ROUTE 281,,"CORTLAND, NY 13045",43 miles,Map
GUTHRIE CORTLAND MED CTR/THE GUTHRIE CLINIC,134 HOMER AVE,,"CORTLAND, NY 13045",43 miles,Map
"KPH HEALTHCARE SERVICES, INC.",44 NORTH STREET,,"DRYDEN, NY 13053",46 miles,Map
THE GOLUB CORPORATION,854 STATE ROUTE 13,,"CORTLAND, NY 13045",44 miles,Map
TOPS MARKETS #428,2140 WALWORTH PENFIELD ROAD,,"WALWORTH, NY 14568",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",14 CLINTON AVENUE,,"CORTLAND, NY 13045",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",8150 THOMPSON ROAD,,"CICERO, NY 13039",44 miles,Map
"CVS ALBANY, L.L.C.",13 PORT WATSON STREET,,"CORTLAND, NY 13045",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",41 ALBANY ST,,"CAZENOVIA, NY 13035",55 miles,Map
ECKERD CORPORATION,8379 THOMPSON ROAD.,,"CICERO, NY 13039",45 miles,Map
"KPH HEALTHCARE SERVICES, INC.",9543 ROUTE 11,,"BREWERTON, NY 13029",45 miles,Map
TOPS MARKETS,6272 FURNACE RD,,"ONTARIO, NY 14519",48 miles,Map
MEDICINE SHOPPE,1315 STATE ROUTE 5 STE A,,"CHITTENANGO, NY 13037",52 miles,Map
ECKERD CORPORATION,6720 PITTSFORD-PALMYRA ROAD,,"FAIRPORT, NY 14450",51 miles,Map
"KPH HEALTHCARE SERVICES, INC.",540 GENESEE STREET,,"CHITTENANGO, NY 13037",55 miles,Map
"CVS ALBANY, L.L.C.",1304 FAIRPORT RD.,,"FAIRPORT, NY 14450",54 miles,Map
"CVS ALBANY, L.L.C.",15 HONEOYE COMMONS,,"HONEOYE, NY 14471",55 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7998 ROUTE 31,,"BRIDGEPORT, NY 13030",53 miles,Map
"SPECIALTY RX NY, INC",311 E CHESTNUT ST,,"EAST ROCHESTER, NY 14445",55 miles,Map
"KPH HEALTHCARE SERVICES, INC.",3318 MAIN STREET,,"MEXICO, NY 13114",56 miles,Map
ECKERD CORPORATION,1567 PENFIELD ROAD,,"ROCHESTER, NY 14625",57 miles,Map
"CVS ALBANY, L.L.C.",935 RIDGE ROAD,,"WEBSTER, NY 14580",57 miles,Map
"CVS ALBANY, L.L.C.",2580 EAST HENRIETTA ROAD,,"ROCHESTER, NY 14623",62 miles,Map
"CVS ALBANY, L.L.C.",2100 MONROE AVENUE,,"ROCHESTER, NY 14618",60 miles,Map
"CVS ALBANY, L.L.C.",185 NORTH WINTON ROAD,,"ROCHESTER, NY 14610",61 miles,Map
WAL-MART PHARMACY 10-1619,PHARMACY DEPT,,"ROCHESTER, NY 14623",63 miles,Map
STRONG MEMORIAL HOSPITAL,5901 LAC DE VILLE BLVD,,"ROCHESTER, NY 14618",62 miles,Map
"WALGREEN EASTERN CO., INC.",1650 ELMWOOD AVENUE,,"ROCHESTER, NY 14620",62 miles,Map
STRONG MEMORIAL HOSPITAL-UNIV OF ROCHESTER,2613 W HENRIETTA RD,,"ROCHESTER, NY 14623",64 miles,Map
"TRILLIUM HEALTH, INC.",170 SCIENCE PKWY,,"ROCHESTER, NY 14620",63 miles,Map
"WALGREEN EASTERN CO., INC.",1433 CULVER RD,,"ROCHESTER, NY 14609",62 miles,Map
"WALGREEN EASTERN CO., INC",565 MONROE AVE,,"ROCHESTER, NY 14607",63 miles,Map
MEDICAL ADMIN ASSOC INC,777 CLINTON AVE S,,"ROCHESTER, NY 14620",63 miles,Map
"CVS ALBANY, L.L.C.",1431 MT HOPE AVE,,"ROCHESTER, NY 14620",64 miles,Map
HIGHLAND HOSPITAL OF ROCHESTER,1000 SOUTH AVE,1ST FLOOR,"ROCHESTER, NY 14620",63 miles,Map
STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVENUE BOX 638,OUTPATIENT PHARMACY,"ROCHESTER, NY 14642",64 miles,Map
"TRILLIUM HEALTH, INC.",259 MONROE AVE,LOWER LEVEL,"ROCHESTER, NY 14607",63 miles,Map
"TRILLIUM HEALTH, INC.",259 MONROE AVE,FL 1,"ROCHESTER, NY 14607",63 miles,Map
ECKERD CORPORATION,1792 NORTH GOODMAN STREET,,"ROCHESTER, NY 14609",63 miles,Map
"WALGREEN EASTERN CO., INC.",2100 RIDGE RD E,,"IRONDEQUOIT, NY 14622",63 miles,Map
"RITE AID OF NEW YORK, INC.",535 PORTLAND AVENUE,,"ROCHESTER, NY 14621",64 miles,Map
